ID	X	Y	dem
1	62.9375	46.6875	95
2	63.3125	46.6875	104
3	63.4375	46.6875	155
4	63.5625	46.6875	169
5	63.6875	46.6875	156
6	63.8125	46.6875	170
7	62.3125	46.5625	73
8	62.4375	46.5625	77
9	62.5625	46.5625	71
10	62.6875	46.5625	83
11	62.8125	46.5625	90
12	62.9375	46.5625	93
13	63.0625	46.5625	117
14	63.1875	46.5625	127
15	63.3125	46.5625	105
16	63.4375	46.5625	150
17	63.5625	46.5625	163
18	63.6875	46.5625	170
19	63.8125	46.5625	210
20	63.9375	46.5625	204
21	64.0625	46.5625	179
22	62.1875	46.4375	66
23	62.3125	46.4375	73
24	62.4375	46.4375	69
25	62.5625	46.4375	69
26	62.6875	46.4375	85
27	62.8125	46.4375	84
28	62.9375	46.4375	90
29	63.0625	46.4375	96
30	63.1875	46.4375	110
31	63.3125	46.4375	105
32	63.4375	46.4375	106
33	63.5625	46.4375	134
34	63.6875	46.4375	150
35	63.8125	46.4375	148
36	63.9375	46.4375	186
37	64.0625	46.4375	191
38	64.1875	46.4375	211
39	64.3125	46.4375	208
40	64.4375	46.4375	173
41	64.5625	46.4375	152
42	61.6875	46.3125	81
43	61.8125	46.3125	72
44	61.9375	46.3125	61
45	62.0625	46.3125	62
46	62.1875	46.3125	67
47	62.3125	46.3125	69
48	62.4375	46.3125	65
49	62.5625	46.3125	74
50	62.6875	46.3125	75
51	62.8125	46.3125	80
52	62.9375	46.3125	85
53	63.0625	46.3125	99
54	63.1875	46.3125	96
55	63.3125	46.3125	100
56	63.4375	46.3125	94
57	63.5625	46.3125	100
58	63.6875	46.3125	104
59	63.8125	46.3125	132
60	63.9375	46.3125	163
61	64.0625	46.3125	183
62	64.1875	46.3125	183
63	64.3125	46.3125	168
64	64.4375	46.3125	143
65	64.5625	46.3125	134
66	64.6875	46.3125	171
67	64.8125	46.3125	153
68	61.1875	46.1875	35
69	61.3125	46.1875	58
70	61.4375	46.1875	64
71	61.5625	46.1875	72
72	61.6875	46.1875	65
73	61.8125	46.1875	54
74	61.9375	46.1875	59
75	62.0625	46.1875	66
76	62.1875	46.1875	68
77	62.3125	46.1875	67
78	62.4375	46.1875	68
79	62.5625	46.1875	80
80	62.6875	46.1875	79
81	62.8125	46.1875	84
82	62.9375	46.1875	94
83	63.0625	46.1875	88
84	63.1875	46.1875	89
85	63.3125	46.1875	93
86	63.4375	46.1875	91
87	63.5625	46.1875	86
88	63.6875	46.1875	87
89	63.8125	46.1875	97
90	63.9375	46.1875	96
91	64.0625	46.1875	109
92	64.1875	46.1875	133
93	64.3125	46.1875	134
94	64.4375	46.1875	108
95	64.5625	46.1875	106
96	64.6875	46.1875	195
97	64.8125	46.1875	210
98	60.8125	46.0625	25
99	60.9375	46.0625	33
100	61.0625	46.0625	44
101	61.1875	46.0625	53
102	61.3125	46.0625	51
103	61.4375	46.0625	56
104	61.5625	46.0625	54
105	61.6875	46.0625	51
106	61.8125	46.0625	74
107	61.9375	46.0625	60
108	62.0625	46.0625	60
109	62.1875	46.0625	63
110	62.3125	46.0625	60
111	62.4375	46.0625	72
112	62.5625	46.0625	79
113	62.6875	46.0625	78
114	62.8125	46.0625	80
115	62.9375	46.0625	99
116	63.0625	46.0625	100
117	63.1875	46.0625	99
118	63.3125	46.0625	92
119	63.4375	46.0625	89
120	63.5625	46.0625	90
121	63.6875	46.0625	87
122	63.8125	46.0625	89
123	63.9375	46.0625	89
124	64.0625	46.0625	92
125	64.1875	46.0625	90
126	64.3125	46.0625	90
127	64.4375	46.0625	92
128	64.5625	46.0625	98
129	64.6875	46.0625	174
130	64.8125	46.0625	190
131	61.0625	45.9375	42
132	61.1875	45.9375	52
133	61.3125	45.9375	56
134	61.4375	45.9375	64
135	61.5625	45.9375	55
136	61.6875	45.9375	60
137	61.8125	45.9375	55
138	61.9375	45.9375	60
139	62.0625	45.9375	59
140	62.1875	45.9375	61
141	62.3125	45.9375	65
142	62.4375	45.9375	73
143	62.5625	45.9375	75
144	62.6875	45.9375	78
145	62.8125	45.9375	81
146	62.9375	45.9375	97
147	63.0625	45.9375	98
148	63.1875	45.9375	101
149	63.3125	45.9375	103
150	63.4375	45.9375	102
151	63.5625	45.9375	95
152	63.6875	45.9375	93
153	63.8125	45.9375	102
154	63.9375	45.9375	111
155	64.0625	45.9375	124
156	64.1875	45.9375	132
157	64.3125	45.9375	130
158	64.4375	45.9375	106
159	64.5625	45.9375	97
160	64.6875	45.9375	139
161	64.8125	45.9375	145
162	65.1875	45.9375	175
163	61.5625	45.8125	55
164	61.6875	45.8125	53
