ID	X	Y	landcover
1	62.9375	46.6875	17
2	63.3125	46.6875	16
3	63.4375	46.6875	16
4	63.5625	46.6875	16
5	63.6875	46.6875	16
6	63.8125	46.6875	16
7	62.3125	46.5625	19
8	62.4375	46.5625	19
9	62.5625	46.5625	19
10	62.6875	46.5625	19
11	62.8125	46.5625	19
12	62.9375	46.5625	19
13	63.0625	46.5625	19
14	63.1875	46.5625	17
15	63.3125	46.5625	19
16	63.4375	46.5625	19
17	63.5625	46.5625	16
18	63.6875	46.5625	16
19	63.8125	46.5625	16
20	63.9375	46.5625	17
21	64.0625	46.5625	16
22	62.1875	46.4375	19
23	62.3125	46.4375	19
24	62.4375	46.4375	19
25	62.5625	46.4375	19
26	62.6875	46.4375	19
27	62.8125	46.4375	19
28	62.9375	46.4375	19
29	63.0625	46.4375	19
30	63.1875	46.4375	16
31	63.3125	46.4375	16
32	63.4375	46.4375	19
33	63.5625	46.4375	19
34	63.6875	46.4375	16
35	63.8125	46.4375	19
36	63.9375	46.4375	16
37	64.0625	46.4375	16
38	64.1875	46.4375	17
39	64.3125	46.4375	16
40	64.4375	46.4375	19
41	64.5625	46.4375	19
42	61.6875	46.3125	16
43	61.8125	46.3125	19
44	61.9375	46.3125	19
45	62.0625	46.3125	19
46	62.1875	46.3125	19
47	62.3125	46.3125	19
48	62.4375	46.3125	19
49	62.5625	46.3125	19
50	62.6875	46.3125	19
51	62.8125	46.3125	19
52	62.9375	46.3125	19
53	63.0625	46.3125	19
54	63.1875	46.3125	19
55	63.3125	46.3125	19
56	63.4375	46.3125	19
57	63.5625	46.3125	19
58	63.6875	46.3125	19
59	63.8125	46.3125	16
60	63.9375	46.3125	16
61	64.0625	46.3125	17
62	64.1875	46.3125	16
63	64.3125	46.3125	16
64	64.4375	46.3125	19
65	64.5625	46.3125	19
66	64.6875	46.3125	19
67	64.8125	46.3125	20
68	61.1875	46.1875	21
69	61.3125	46.1875	19
70	61.4375	46.1875	19
71	61.5625	46.1875	16
72	61.6875	46.1875	25
73	61.8125	46.1875	25
74	61.9375	46.1875	19
75	62.0625	46.1875	19
76	62.1875	46.1875	19
77	62.3125	46.1875	19
78	62.4375	46.1875	19
79	62.5625	46.1875	19
80	62.6875	46.1875	19
81	62.8125	46.1875	19
82	62.9375	46.1875	19
83	63.0625	46.1875	19
84	63.1875	46.1875	19
85	63.3125	46.1875	19
86	63.4375	46.1875	19
87	63.5625	46.1875	19
88	63.6875	46.1875	19
89	63.8125	46.1875	19
90	63.9375	46.1875	19
91	64.0625	46.1875	19
92	64.1875	46.1875	19
93	64.3125	46.1875	19
94	64.4375	46.1875	19
95	64.5625	46.1875	19
96	64.6875	46.1875	20
97	64.8125	46.1875	20
98	60.8125	46.0625	21
99	60.9375	46.0625	21
100	61.0625	46.0625	21
101	61.1875	46.0625	19
102	61.3125	46.0625	19
103	61.4375	46.0625	19
104	61.5625	46.0625	19
105	61.6875	46.0625	17
106	61.8125	46.0625	19
107	61.9375	46.0625	19
108	62.0625	46.0625	19
109	62.1875	46.0625	19
110	62.3125	46.0625	19
111	62.4375	46.0625	19
112	62.5625	46.0625	19
113	62.6875	46.0625	19
114	62.8125	46.0625	19
115	62.9375	46.0625	19
116	63.0625	46.0625	19
117	63.1875	46.0625	19
118	63.3125	46.0625	19
119	63.4375	46.0625	19
120	63.5625	46.0625	19
121	63.6875	46.0625	19
122	63.8125	46.0625	19
123	63.9375	46.0625	19
124	64.0625	46.0625	19
125	64.1875	46.0625	19
126	64.3125	46.0625	19
127	64.4375	46.0625	19
128	64.5625	46.0625	21
129	64.6875	46.0625	19
130	64.8125	46.0625	20
131	61.0625	45.9375	19
132	61.1875	45.9375	19
133	61.3125	45.9375	19
134	61.4375	45.9375	19
135	61.5625	45.9375	19
136	61.6875	45.9375	19
137	61.8125	45.9375	17
138	61.9375	45.9375	19
139	62.0625	45.9375	19
140	62.1875	45.9375	19
141	62.3125	45.9375	19
142	62.4375	45.9375	19
143	62.5625	45.9375	19
144	62.6875	45.9375	19
145	62.8125	45.9375	19
146	62.9375	45.9375	19
147	63.0625	45.9375	19
148	63.1875	45.9375	19
