ID	X	Y	slope
1	62.9375	46.6875	0.001005
2	63.3125	46.6875	0.001179
3	63.4375	46.6875	0.002960
4	63.5625	46.6875	0.001605
5	63.6875	46.6875	0.001576
6	63.8125	46.6875	0.001733
7	62.3125	46.5625	0.000237
8	62.4375	46.5625	0.000227
9	62.5625	46.5625	0.000649
10	62.6875	46.5625	0.000750
11	62.8125	46.5625	0.000485
12	62.9375	46.5625	0.000990
13	63.0625	46.5625	0.001323
14	63.1875	46.5625	0.000779
15	63.3125	46.5625	0.000898
16	63.4375	46.5625	0.002201
17	63.5625	46.5625	0.002709
18	63.6875	46.5625	0.002827
19	63.8125	46.5625	0.003189
20	63.9375	46.5625	0.001969
21	64.0625	46.5625	0.000682
22	62.1875	46.4375	0.000367
23	62.3125	46.4375	0.000130
24	62.4375	46.4375	0.000240
25	62.5625	46.4375	0.000638
26	62.6875	46.4375	0.000406
27	62.8125	46.4375	0.000517
28	62.9375	46.4375	0.000696
29	63.0625	46.4375	0.000581
30	63.1875	46.4375	0.000606
31	63.3125	46.4375	0.000550
32	63.4375	46.4375	0.000852
33	63.5625	46.4375	0.001738
34	63.6875	46.4375	0.002318
35	63.8125	46.4375	0.003113
36	63.9375	46.4375	0.003472
37	64.0625	46.4375	0.003260
38	64.1875	46.4375	0.002805
39	64.3125	46.4375	0.003213
40	64.4375	46.4375	0.002995
41	64.5625	46.4375	0.001128
42	61.6875	46.3125	0.000671
43	61.8125	46.3125	0.000386
44	61.9375	46.3125	0.000024
45	62.0625	46.3125	0.000356
46	62.1875	46.3125	0.000198
47	62.3125	46.3125	0.000159
48	62.4375	46.3125	0.000658
49	62.5625	46.3125	0.000532
50	62.6875	46.3125	0.000217
51	62.8125	46.3125	0.000815
52	62.9375	46.3125	0.000661
53	63.0625	46.3125	0.000169
54	63.1875	46.3125	0.000046
55	63.3125	46.3125	0.000186
56	63.4375	46.3125	0.000310
57	63.5625	46.3125	0.000372
58	63.6875	46.3125	0.001032
59	63.8125	46.3125	0.001888
60	63.9375	46.3125	0.002731
61	64.0625	46.3125	0.003368
62	64.1875	46.3125	0.003212
63	64.3125	46.3125	0.002932
64	64.4375	46.3125	0.002216
65	64.5625	46.3125	0.003856
66	64.6875	46.3125	0.004164
67	64.8125	46.3125	0.001098
68	61.1875	46.1875	0.000891
69	61.3125	46.1875	0.000615
70	61.4375	46.1875	0.000300
71	61.5625	46.1875	0.000394
72	61.6875	46.1875	0.000376
73	61.8125	46.1875	0.000170
74	61.9375	46.1875	0.000130
75	62.0625	46.1875	0.000261
76	62.1875	46.1875	0.000208
77	62.3125	46.1875	0.000391
78	62.4375	46.1875	0.000778
79	62.5625	46.1875	0.000358
80	62.6875	46.1875	0.000192
81	62.8125	46.1875	0.000998
82	62.9375	46.1875	0.000806
83	63.0625	46.1875	0.000313
84	63.1875	46.1875	0.000398
85	63.3125	46.1875	0.000435
86	63.4375	46.1875	0.000439
87	63.5625	46.1875	0.000382
88	63.6875	46.1875	0.000297
89	63.8125	46.1875	0.000482
90	63.9375	46.1875	0.000708
91	64.0625	46.1875	0.000880
